"Step","rl_config.agent: cql - delay/slice_1_delay_violation_rate","rl_config.agent: cql - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_1_delay_violation_rate__MAX","rl_config.agent: sac - delay/slice_1_delay_violation_rate","rl_config.agent: sac - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_1_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_1_delay_violation_rate","rl_config.agent: baseline - delay/slice_1_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_1_delay_violation_rate__MAX"
"51","0","0","0","0","0","0","40","40","40"
"52","0","0","0","0","0","0","40","40","40"
"53","0","0","0","0","0","0","40","40","40"
"54","0","0","0","0","0","0","40","40","40"
"55","0","0","0","0","0","0","40","40","40"
"56","0","0","0","0","0","0","40","40","40"
"57","0","0","0","0","0","0","40","40","40"
"58","0","0","0","0","0","0","40","40","40"
"59","0","0","0","0","0","0","40","40","40"
"60","0","0","0","0","0","0","40","40","40"
"61","0","0","0","0","0","0","40","40","40"
"62","0","0","0","0","0","0","40","40","40"
"63","0","0","0","0","0","0","40","40","40"
"64","0","0","0","0","0","0","40","40","40"
"65","0","0","0","0","0","0","40","40","40"
"66","0","0","0","0","0","0","40","40","40"
"67","0","0","0","0","0","0","40","40","40"
"68","0","0","0","0","0","0","40","40","40"
"69","0","0","0","0","0","0","40","40","40"
"70","0","0","0","0","0","0","40","40","40"
"71","0","0","0","0","0","0","40","40","40"
"72","0","0","0","0","0","0","40","40","40"
"73","0","0","0","0","0","0","40","40","40"
"74","0","0","0","0","0","0","40","40","40"
"75","0","0","0","0","0","0","40","40","40"
"76","0","0","0","0","0","0","40","40","40"
"77","0","0","0","0","0","0","40","40","40"
"78","0","0","0","0","0","0","40","40","40"
"79","0","0","0","0","0","0","40","40","40"
"80","0","0","0","0","0","0","40","40","40"
"81","0","0","0","0","0","0","40","40","40"
"82","0","0","0","0","0","0","40","40","40"
"83","0","0","0","0","0","0","40","40","40"
"84","0","0","0","0","0","0","40","40","40"
"85","0","0","0","0","0","0","40","40","40"
"86","0","0","0","0","0","0","40","40","40"
"87","0","0","0","0","0","0","40","40","40"
"88","0","0","0","0","0","0","40","40","40"
"89","0","0","0","0","0","0","40","40","40"
"90","0","0","0","0","0","0","40","40","40"
"91","0","0","0","0","0","0","40","40","40"
"92","0","0","0","0","0","0","40","40","40"
"93","0","0","0","0","0","0","40","40","40"
"94","0","0","0","0","0","0","40","40","40"
"95","0","0","0","0","0","0","40","40","40"
"96","0","0","0","0","0","0","40","40","40"
"97","0","0","0","0","0","0","40","40","40"
"98","0","0","0","0","0","0","40","40","40"
"99","0","0","0","0","0","0","40","40","40"
"100","0","0","0","0","0","0","40","40","40"
"101","0","0","0","0","0","0","40","40","40"
"102","0","0","0","0","0","0","40","40","40"
"103","0","0","0","0","0","0","40","40","40"
"104","0","0","0","0","0","0","40","40","40"
"105","0","0","0","0","0","0","40","40","40"
"106","0","0","0","0","0","0","40","40","40"
"107","0","0","0","0","0","0","40","40","40"
"108","0","0","0","0","0","0","40","40","40"
"109","0","0","0","0","0","0","40","40","40"
"110","0","0","0","0","0","0","40","40","40"
"111","0","0","0","0","0","0","40","40","40"
"112","0","0","0","0","0","0","40","40","40"
"113","0","0","0","0","0","0","40","40","40"
"114","0","0","0","0","0","0","40","40","40"
"115","0","0","0","0","0","0","40","40","40"
"116","0","0","0","0","0","0","40","40","40"
"117","0","0","0","0","0","0","40","40","40"
"118","0","0","0","0","0","0","40","40","40"
"119","0","0","0","0","0","0","40","40","40"
"120","0","0","0","0","0","0","40","40","40"
"121","0","0","0","0","0","0","40","40","40"
"122","0","0","0","0","0","0","40","40","40"
"123","0","0","0","0","0","0","40","40","40"
"124","0","0","0","0","0","0","40","40","40"
"125","0","0","0","0","0","0","40","40","40"
"126","0","0","0","0","0","0","40","40","40"
"127","0","0","0","0","0","0","40","40","40"
"128","0","0","0","0","0","0","40","40","40"
"129","0","0","0","0","0","0","40","40","40"
"130","0","0","0","0","0","0","40","40","40"
"131","0","0","0","0","0","0","40","40","40"
"132","0","0","0","0","0","0","40","40","40"
"133","0","0","0","0","0","0","40","40","40"
"134","0","0","0","0","0","0","40","40","40"
"135","0","0","0","0","0","0","40","40","40"
"136","0","0","0","0","0","0","40","40","40"
"137","0","0","0","0","0","0","40","40","40"
"138","0","0","0","0","0","0","40","40","40"
"139","0","0","0","0","0","0","40","40","40"
"140","0","0","0","0","0","0","40","40","40"
"141","0","0","0","0","0","0","40","40","40"
"142","0","0","0","0","0","0","40","40","40"
"143","0","0","0","0","0","0","40","40","40"
"144","0","0","0","0","0","0","40","40","40"
"145","0","0","0","0","0","0","40","40","40"
"146","0","0","0","0","0","0","40","40","40"
"147","0","0","0","0","0","0","40","40","40"
"148","0","0","0","0","0","0","40","40","40"
"149","0","0","0","0","0","0","40","40","40"
"150","0","0","0","0","0","0","40","40","40"
"151","0","0","0","0","0","0","40","40","40"
"152","0","0","0","0","0","0","40","40","40"
"153","0","0","0","0","0","0","40","40","40"
"154","0","0","0","0","0","0","40","40","40"
"155","0","0","0","0","0","0","40","40","40"
"156","0","0","0","0","0","0","40","40","40"
"157","0","0","0","0","0","0","40","40","40"
"158","0","0","0","0","0","0","40","40","40"
"159","0","0","0","0","0","0","40","40","40"
"160","0","0","0","0","0","0","40","40","40"
"161","0","0","0","0","0","0","40","40","40"
"162","0","0","0","0","0","0","40","40","40"
"163","0","0","0","0","0","0","40","40","40"
"164","0","0","0","0","0","0","40","40","40"
"165","0","0","0","0","0","0","40","40","40"
"166","0","0","0","0","0","0","40","40","40"
"167","0","0","0","0","0","0","40","40","40"
"168","0","0","0","0","0","0","40","40","40"
"169","0","0","0","0","0","0","40","40","40"
"170","0","0","0","0","0","0","40","40","40"
"171","0","0","0","0","0","0","40","40","40"
"172","0","0","0","0","0","0","40","40","40"
"173","0","0","0","0","0","0","40","40","40"
"174","0","0","0","0","0","0","40","40","40"
"175","0","0","0","0","0","0","40","40","40"
"176","0","0","0","0","0","0","40","40","40"
"177","0","0","0","0","0","0","40","40","40"
"178","0","0","0","0","0","0","40","40","40"
"179","0","0","0","0","0","0","40","40","40"
"180","0","0","0","0","0","0","40","40","40"
"181","0","0","0","0","0","0","40","40","40"
"182","0","0","0","0","0","0","40","40","40"
"183","0","0","0","0","0","0","40","40","40"
"184","0","0","0","0","0","0","40","40","40"
"185","0","0","0","0","0","0","40","40","40"
"186","0","0","0","0","0","0","40","40","40"
"187","0","0","0","0","0","0","40","40","40"
"188","0","0","0","0","0","0","40","40","40"
"189","0","0","0","0","0","0","40","40","40"
"190","0","0","0","0","0","0","40","40","40"
"191","0","0","0","0","0","0","40","40","40"
"192","0","0","0","0","0","0","40","40","40"
"193","0","0","0","0","0","0","40","40","40"
"194","0","0","0","0","0","0","40","40","40"
"195","0","0","0","0","0","0","40","40","40"
"196","0","0","0","0","0","0","40","40","40"
"197","0","0","0","0","0","0","40","40","40"
"198","0","0","0","0","0","0","40","40","40"
